department_id,department_name,location
1,Department_1,Mumbai
2,Department_2,Hyderabad
3,Department_3,Pune
4,Department_4,Pune
5,Department_5,Mumbai
6,Department_6,Hyderabad
7,Department_7,Chennai
8,Department_8,Hyderabad
9,Department_9,Bangalore
10,Department_10,Bangalore
11,Department_11,Chennai
12,Department_12,Mumbai
13,Department_13,Chennai
14,Department_14,Mumbai
15,Department_15,Chennai
16,Department_16,Pune
17,Department_17,Bangalore
18,Department_18,Pune
19,Department_19,Mumbai
20,Department_20,Mumbai
