review_id,employee_id,rating,remarks
1,1706,3.0,Excellent
2,2178,5.0,Poor
3,6660,Not Rating,Not Provided
4,2175,5.0,Good
5,4335,5.0,Poor
6,7942,Not Rating,Excellent
7,7742,2.0,Excellent
8,6577,Not Rating,Excellent
9,900,4.0,Good
10,4070,Not Rating,Not Provided
11,8011,Not Rating,Not Provided
12,6811,3.0,Poor
13,4003,Not Rating,Poor
14,2949,Not Rating,Poor
15,1438,Not Rating,Avergae
16,5000,1.0,Excellent
17,3163,4.0,Avergae
18,3353,Not Rating,Good
19,3115,5.0,Good
20,8460,5.0,Excellent
21,5177,4.0,Good
22,8154,Not Rating,Good
23,4088,2.0,Good
24,6252,Not Rating,Avergae
25,7597,5.0,Poor
26,4574,2.0,Avergae
27,6047,3.0,Not Provided
28,2837,2.0,Avergae
29,9746,Not Rating,Excellent
30,8631,1.0,Excellent
31,6140,Not Rating,Poor
32,1739,Not Rating,Excellent
33,6062,Not Rating,Not Provided
34,2019,1.0,Not Provided
35,7272,3.0,Excellent
36,1290,Not Rating,Good
37,7187,Not Rating,Excellent
38,5639,4.0,Good
39,7100,Not Rating,Good
40,6075,5.0,Good
41,631,Not Rating,Excellent
42,6479,4.0,Not Provided
43,833,Not Rating,Excellent
44,8802,Not Rating,Excellent
45,5280,Not Rating,Not Provided
46,4268,4.0,Not Provided
47,7472,1.0,Poor
48,9997,1.0,Avergae
49,9919,4.0,Excellent
50,5383,Not Rating,Not Provided
51,4401,Not Rating,Good
52,344,3.0,Poor
53,7428,3.0,Excellent
54,6834,Not Rating,Not Provided
55,8778,4.0,Excellent
56,1905,2.0,Avergae
57,6898,Not Rating,Excellent
58,758,Not Rating,Excellent
59,2546,Not Rating,Avergae
60,7125,Not Rating,Excellent
61,8630,1.0,Avergae
62,8333,Not Rating,Good
63,3290,Not Rating,Excellent
64,4535,Not Rating,Poor
65,1898,2.0,Not Provided
66,2460,2.0,Poor
67,5067,3.0,Excellent
68,9384,2.0,Not Provided
69,7659,2.0,Excellent
70,1959,5.0,Avergae
71,2110,Not Rating,Good
72,6668,Not Rating,Poor
73,8207,5.0,Avergae
74,4703,5.0,Excellent
75,8866,4.0,Excellent
76,4053,Not Rating,Avergae
77,338,Not Rating,Excellent
78,8250,Not Rating,Poor
79,1799,4.0,Excellent
80,7532,Not Rating,Avergae
81,6085,Not Rating,Not Provided
82,1521,Not Rating,Poor
83,7205,5.0,Poor
84,4861,Not Rating,Poor
85,5422,5.0,Excellent
86,4751,Not Rating,Not Provided
87,3982,1.0,Good
88,1338,5.0,Good
89,6443,Not Rating,Excellent
90,4615,Not Rating,Excellent
91,3324,3.0,Poor
92,3176,4.0,Not Provided
93,2073,4.0,Avergae
94,8457,1.0,Not Provided
95,6561,Not Rating,Good
96,7777,1.0,Excellent
97,2559,5.0,Good
98,1086,3.0,Excellent
99,6523,Not Rating,Excellent
100,4422,5.0,Excellent
101,9870,1.0,Excellent
102,7535,2.0,Excellent
103,4543,2.0,Avergae
104,6960,Not Rating,Excellent
105,4657,Not Rating,Avergae
106,3941,Not Rating,Excellent
107,8289,2.0,Not Provided
108,7385,4.0,Poor
109,1084,5.0,Avergae
110,2566,4.0,Poor
111,5077,4.0,Not Provided
112,213,Not Rating,Excellent
113,3916,Not Rating,Excellent
114,1349,3.0,Excellent
115,1999,2.0,Excellent
116,9267,4.0,Poor
117,8928,1.0,Poor
118,5796,3.0,Avergae
119,1713,Not Rating,Not Provided
120,2491,2.0,Avergae
121,9729,4.0,Excellent
122,390,1.0,Good
123,5146,4.0,Poor
124,2953,Not Rating,Avergae
125,2191,5.0,Not Provided
126,8311,2.0,Excellent
127,5797,Not Rating,Poor
128,8294,1.0,Poor
129,3993,5.0,Avergae
130,6102,5.0,Avergae
131,4799,Not Rating,Not Provided
132,8925,1.0,Good
133,5497,Not Rating,Poor
134,226,Not Rating,Avergae
135,4988,Not Rating,Excellent
136,7379,5.0,Good
137,612,3.0,Not Provided
138,5565,2.0,Good
139,8146,4.0,Avergae
140,7316,5.0,Good
141,5014,Not Rating,Excellent
142,5466,1.0,Excellent
143,4041,3.0,Avergae
144,3544,Not Rating,Excellent
145,8249,1.0,Not Provided
146,3151,3.0,Poor
147,5038,Not Rating,Avergae
148,101,2.0,Avergae
149,3875,5.0,Good
150,5657,5.0,Not Provided
151,3586,Not Rating,Excellent
152,9037,1.0,Excellent
153,9120,Not Rating,Not Provided
