attendance_id,employee_id,date,status,hours_worked
1,1488.0,01/08/2025,Present,8.0
2,9422.0,,Leave,15.0
3,9777.0,2025/08/02,Present,9.0
4,304.0,01/08/2025,,
5,892.0,,Present,15.0
6,7594.0,,Present,7.5
7,7052.0,2025/08/02,Leave,15.0
8,5205.0,01/08/2025,Absent,-1.0
9,640.0,2025-08-01,present,8.0
10,2559.0,01/08/2025,Absent,
11,9004.0,,,
12,5702.0,2025-08-01,,9.0
13,5596.0,2025-08-01,,
14,2865.0,,WFH,-1.0
15,4250.0,2025/08/02,Absent,8.0
16,9405.0,2025/08/02,present,9.0
17,8873.0,2025-08-01,Absent,15.0
18,8876.0,2025/08/02,present,
19,5950.0,,WFH,
20,9088.0,2025-08-01,WFH,
21,8426.0,01/08/2025,,9.0
22,4157.0,,Absent,9.0
23,2620.0,2025-08-01,present,8.0
24,885.0,,WFH,7.5
25,661.0,,present,7.5
26,3514.0,2025-08-01,WFH,
27,897.0,01/08/2025,Absent,-1.0
28,5036.0,2025/08/02,WFH,8.0
29,5867.0,2025-08-01,Leave,8.0
30,6319.0,2025-08-01,WFH,
31,159.0,,,-1.0
32,6493.0,2025-08-01,present,9.0
33,1221.0,2025/08/02,Leave,7.5
34,3839.0,2025/08/02,,8.0
35,3416.0,,WFH,7.5
36,574.0,2025/08/02,present,7.5
37,6132.0,,Present,-1.0
38,5598.0,2025-08-01,Leave,-1.0
39,5622.0,,,8.0
40,2427.0,2025/08/02,Leave,15.0
41,137.0,01/08/2025,WFH,
42,3810.0,,Leave,
43,8190.0,01/08/2025,Leave,15.0
44,1683.0,01/08/2025,present,8.0
45,3131.0,,present,-1.0
46,243.0,2025-08-01,,8.0
47,2416.0,2025-08-01,Leave,7.5
48,3101.0,2025/08/02,Absent,7.5
49,3608.0,2025/08/02,Present,
50,7687.0,2025/08/02,,15.0
51,331.0,2025/08/02,Absent,9.0
52,9792.0,01/08/2025,Present,9.0
53,4797.0,01/08/2025,Present,15.0
54,6332.0,2025-08-01,Present,
55,7875.0,2025/08/02,Absent,9.0
56,4796.0,01/08/2025,Absent,
57,6684.0,,Present,
58,8194.0,01/08/2025,,7.5
59,4636.0,01/08/2025,,15.0
60,4553.0,2025/08/02,Absent,9.0
61,7735.0,,,9.0
62,4602.0,2025-08-01,present,15.0
63,5442.0,,WFH,15.0
64,1836.0,2025-08-01,,15.0
65,7717.0,2025-08-01,present,-1.0
66,7466.0,2025-08-01,Present,-1.0
67,5265.0,,Leave,9.0
68,9963.0,,present,
69,2052.0,01/08/2025,WFH,8.0
70,131.0,01/08/2025,Leave,15.0
71,2729.0,01/08/2025,Absent,-1.0
72,8037.0,,Present,9.0
73,2778.0,2025-08-01,Leave,-1.0
74,2398.0,01/08/2025,Leave,-1.0
75,8774.0,2025-08-01,Absent,7.5
76,8147.0,2025/08/02,present,8.0
77,7176.0,2025-08-01,Absent,9.0
78,9433.0,2025/08/02,WFH,
79,4410.0,,Absent,8.0
80,726.0,,,-1.0
81,5285.0,2025-08-01,Leave,7.5
82,4108.0,01/08/2025,Present,15.0
83,3594.0,01/08/2025,Present,15.0
84,8124.0,01/08/2025,present,8.0
85,3569.0,01/08/2025,Absent,9.0
86,4816.0,2025-08-01,Absent,
87,2584.0,,,
88,3196.0,01/08/2025,present,-1.0
89,1547.0,2025-08-01,WFH,9.0
90,5850.0,2025-08-01,Present,
91,9775.0,2025-08-01,,8.0
92,7701.0,01/08/2025,WFH,-1.0
93,3269.0,2025-08-01,,7.5
94,97.0,2025/08/02,present,-1.0
95,9062.0,,present,9.0
96,7004.0,2025/08/02,Present,8.0
97,4148.0,2025/08/02,Leave,
98,4170.0,01/08/2025,Leave,
99,8839.0,01/08/2025,present,15.0
100,6406.0,2025-08-01,present,
101,3241.0,2025-08-01,WFH,9.0
102,9102.0,01/08/2025,Absent,9.0
103,6637.0,01/08/2025,present,8.0
104,1736.0,2025-08-01,Present,15.0
105,4336.0,01/08/2025,Absent,9.0
106,3266.0,,Leave,9.0
107,4177.0,2025-08-01,,
108,9790.0,2025-08-01,Present,15.0
109,4522.0,2025/08/02,Present,9.0
110,9349.0,,Present,8.0
111,9685.0,01/08/2025,Present,15.0
112,2174.0,2025/08/02,Present,8.0
113,4440.0,2025/08/02,present,9.0
114,2226.0,2025-08-01,Absent,15.0
115,4665.0,,Present,9.0
116,1610.0,2025/08/02,WFH,
117,5476.0,01/08/2025,Present,
118,8873.0,2025-08-01,Present,7.5
119,8711.0,2025-08-01,Leave,8.0
120,9135.0,,WFH,9.0
121,2180.0,2025/08/02,present,8.0
122,5997.0,2025-08-01,present,
123,9940.0,,Leave,8.0
124,2909.0,01/08/2025,present,8.0
125,8628.0,2025/08/02,present,15.0
126,4493.0,2025-08-01,,7.5
127,8783.0,2025/08/02,Present,7.5
128,2018.0,2025/08/02,Absent,7.5
129,4782.0,01/08/2025,Absent,8.0
130,2617.0,2025-08-01,present,15.0
131,6195.0,01/08/2025,Present,8.0
132,2629.0,,Leave,7.5
133,503.0,01/08/2025,Leave,9.0
134,9856.0,2025-08-01,WFH,
135,2860.0,2025-08-01,,
136,6165.0,2025-08-01,Leave,15.0
137,9798.0,,WFH,
138,5179.0,,,8.0
139,7715.0,,Present,8.0
140,6519.0,2025/08/02,Present,9.0
141,7510.0,,Present,15.0
142,1711.0,2025-08-01,WFH,
143,871.0,2025-08-01,Present,7.5
144,4967.0,,Leave,7.5
145,2630.0,2025/08/02,,15.0
