payroll_id,employee_id,pay_month,net_salary,bonus
1,8164.0,2025/08,-5000,0.0
2,5491.0,2025-08,42000,0.0
3,6056.0,2025-08,42000,-100.0
4,2883.0,2025-08,65000,0.0
5,9775.0,2025-08,65000,-100.0
6,9530.0,2025/08,25000,-100.0
7,2150.0,2025-08,,2000.0
8,9036.0,,25000,2000.0
9,4768.0,,65000,0.0
10,3326.0,,,-100.0
11,9411.0,,,0.0
12,7341.0,2025-08,42000,-100.0
13,6705.0,,-5000,2000.0
14,8676.0,Aug-2025,,5000.0
15,2176.0,2025-08,65000,0.0
16,7572.0,2025/08,,
17,8432.0,2025-08,"₹45,000",-100.0
18,3104.0,Aug-2025,,0.0
19,6413.0,,25000,-100.0
20,7289.0,2025/08,65000,2000.0
21,4161.0,Aug-2025,,-100.0
22,1679.0,Aug-2025,25000,0.0
23,5263.0,Aug-2025,,0.0
24,494.0,,25000,-100.0
25,6642.0,,65000,2000.0
26,5998.0,Aug-2025,65000,
27,1445.0,2025-08,,0.0
28,4582.0,2025/08,,
29,732.0,2025/08,42000,5000.0
30,635.0,2025-08,-5000,-100.0
31,8274.0,2025-08,,5000.0
32,7400.0,,25000,
33,6428.0,Aug-2025,42000,2000.0
34,9422.0,2025-08,,5000.0
35,8730.0,2025/08,-5000,2000.0
36,2447.0,Aug-2025,"₹45,000",0.0
37,325.0,2025/08,,5000.0
38,577.0,2025/08,-5000,0.0
39,1964.0,2025/08,,
40,8396.0,2025/08,-5000,2000.0
41,4724.0,Aug-2025,25000,5000.0
42,2272.0,Aug-2025,"₹45,000",2000.0
43,6864.0,2025/08,65000,-100.0
44,2978.0,2025-08,42000,
45,5968.0,2025/08,-5000,
46,8394.0,Aug-2025,"₹45,000",-100.0
47,3131.0,2025/08,,
48,9447.0,2025-08,25000,0.0
49,6470.0,2025/08,65000,0.0
50,7577.0,2025/08,-5000,5000.0
51,3939.0,Aug-2025,-5000,
52,3135.0,2025-08,-5000,2000.0
53,444.0,2025/08,42000,5000.0
54,1206.0,2025/08,-5000,
55,578.0,2025/08,-5000,
56,5703.0,Aug-2025,,-100.0
57,2236.0,2025/08,25000,5000.0
58,5848.0,Aug-2025,-5000,0.0
59,3072.0,,,-100.0
60,3064.0,,25000,-100.0
61,8588.0,,65000,2000.0
62,1453.0,2025-08,-5000,
63,869.0,Aug-2025,-5000,-100.0
64,5416.0,,42000,-100.0
65,9505.0,,,2000.0
66,9348.0,Aug-2025,65000,
67,1424.0,2025/08,25000,0.0
68,926.0,Aug-2025,-5000,-100.0
69,7525.0,,25000,2000.0
70,254.0,Aug-2025,"₹45,000",2000.0
71,3057.0,Aug-2025,-5000,-100.0
72,8867.0,,65000,5000.0
73,9771.0,Aug-2025,,2000.0
74,377.0,,25000,2000.0
75,9375.0,Aug-2025,-5000,
76,2596.0,,65000,-100.0
77,2775.0,Aug-2025,-5000,2000.0
78,2741.0,,-5000,0.0
79,952.0,Aug-2025,65000,0.0
80,9204.0,2025-08,"₹45,000",2000.0
81,9727.0,Aug-2025,-5000,0.0
82,4333.0,Aug-2025,25000,0.0
83,2879.0,Aug-2025,42000,
84,3596.0,,65000,2000.0
85,9779.0,2025/08,,2000.0
86,6758.0,2025-08,,2000.0
87,6123.0,2025-08,42000,0.0
88,3422.0,2025-08,25000,2000.0
89,6939.0,Aug-2025,42000,2000.0
90,9760.0,2025-08,65000,2000.0
91,3596.0,2025/08,42000,-100.0
92,5049.0,2025-08,,-100.0
93,1144.0,2025/08,42000,
94,3932.0,2025-08,"₹45,000",
95,3821.0,2025-08,,-100.0
96,1290.0,,65000,
97,3678.0,2025-08,-5000,5000.0
98,778.0,Aug-2025,25000,
99,8877.0,2025/08,42000,5000.0
100,3049.0,2025/08,,2000.0
101,1965.0,,-5000,-100.0
102,9790.0,Aug-2025,"₹45,000",-100.0
103,2753.0,2025-08,25000,5000.0
104,5128.0,,25000,-100.0
105,8511.0,,-5000,-100.0
106,8738.0,2025-08,42000,0.0
107,1178.0,2025/08,25000,
108,9614.0,2025-08,,2000.0
109,8499.0,2025-08,,5000.0
110,7728.0,2025/08,-5000,5000.0
111,270.0,2025-08,,-100.0
112,6234.0,,65000,
113,2585.0,2025-08,,5000.0
114,1786.0,,42000,0.0
115,8190.0,2025-08,42000,
116,9892.0,,-5000,2000.0
117,7511.0,2025/08,"₹45,000",2000.0
118,1874.0,Aug-2025,"₹45,000",
119,7384.0,2025/08,42000,2000.0
120,8240.0,,"₹45,000",
121,2656.0,2025/08,65000,
122,2190.0,,42000,5000.0
123,8034.0,2025-08,"₹45,000",
124,6034.0,2025-08,42000,-100.0
125,9097.0,2025-08,,5000.0
126,5627.0,,65000,-100.0
127,723.0,2025/08,-5000,-100.0
128,1687.0,2025-08,65000,-100.0
129,5461.0,2025-08,"₹45,000",5000.0
130,2806.0,,65000,0.0
131,8069.0,,-5000,0.0
132,8911.0,Aug-2025,,0.0
133,292.0,2025/08,,-100.0
134,9291.0,2025-08,65000,-100.0
135,4500.0,Aug-2025,42000,2000.0
136,7605.0,,42000,0.0
137,6192.0,Aug-2025,25000,-100.0
138,9011.0,2025-08,"₹45,000",5000.0
139,1708.0,,65000,
140,9003.0,2025/08,"₹45,000",-100.0
141,399.0,Aug-2025,-5000,2000.0
142,5608.0,2025/08,42000,2000.0
143,4302.0,2025-08,65000,
144,2691.0,Aug-2025,25000,0.0
145,4057.0,,65000,
146,3946.0,2025/08,,2000.0
147,2191.0,2025/08,-5000,0.0
148,3635.0,2025-08,25000,
149,2820.0,2025-08,,
150,1036.0,Aug-2025,42000,2000.0
151,1050.0,2025-08,"₹45,000",-100.0
152,8310.0,2025/08,,-100.0
153,1504.0,Aug-2025,-5000,-100.0
154,7142.0,2025-08,,0.0
155,5635.0,2025-08,-5000,
156,5623.0,Aug-2025,65000,-100.0
157,2309.0,2025-08,-5000,5000.0
158,9384.0,2025-08,25000,5000.0
159,5931.0,Aug-2025,25000,0.0
160,927.0,,"₹45,000",-100.0
161,5385.0,2025-08,-5000,5000.0
162,2405.0,,25000,0.0
163,2139.0,,-5000,5000.0
164,6048.0,,25000,5000.0
165,7.0,Aug-2025,"₹45,000",
166,2936.0,Aug-2025,42000,0.0
167,9334.0,2025-08,,2000.0
168,9703.0,2025/08,65000,2000.0
169,5452.0,2025/08,-5000,0.0
170,8292.0,Aug-2025,25000,0.0
171,4957.0,,65000,-100.0
172,8321.0,2025-08,-5000,5000.0
173,3684.0,Aug-2025,-5000,0.0
174,4266.0,,25000,5000.0
175,2773.0,,42000,-100.0
176,7534.0,2025-08,42000,-100.0
177,21.0,2025/08,25000,0.0
178,5644.0,2025-08,42000,-100.0
179,984.0,Aug-2025,42000,
180,6117.0,,25000,2000.0
181,5882.0,,65000,
182,91.0,,"₹45,000",
183,2575.0,2025/08,-5000,0.0
184,1849.0,2025/08,65000,0.0
185,8361.0,Aug-2025,42000,
186,1731.0,Aug-2025,"₹45,000",-100.0
187,2258.0,2025-08,65000,2000.0
188,7480.0,,42000,
189,600.0,,-5000,
190,5188.0,Aug-2025,"₹45,000",
191,395.0,Aug-2025,"₹45,000",
192,318.0,2025-08,,-100.0
193,9111.0,2025/08,,5000.0
194,487.0,2025-08,42000,2000.0
195,1912.0,,,-100.0
196,9033.0,Aug-2025,,5000.0
197,3411.0,2025/08,65000,2000.0
198,2978.0,2025/08,,0.0
