review_id,employee_id,rating,remarks
1,1706.0,3.0,excellent
2,2178.0,5.0,Poor
3,6660.0,-1.0,
4,2175.0,5.0,Good
5,4335.0,5.0,Poor
6,7942.0,8.0,Excellent
7,7742.0,2.0,Excellent
8,6577.0,,Excellent
9,900.0,4.0,Good
10,4070.0,,
11,8011.0,,
12,6811.0,3.0,Poor
13,4003.0,-1.0,Poor
14,2949.0,8.0,Poor
15,1438.0,,Average
16,5000.0,1.0,excellent
17,3163.0,4.0,Average
18,3353.0,-1.0,Good
19,3115.0,5.0,Good
20,8460.0,5.0,excellent
21,5177.0,4.0,Good
22,8154.0,8.0,Good
23,4088.0,2.0,Good
24,6252.0,,Average
25,7597.0,5.0,Poor
26,4574.0,2.0,Average
27,6047.0,3.0,
28,2837.0,2.0,Average
29,9746.0,8.0,Excellent
30,8631.0,1.0,excellent
31,6140.0,8.0,Poor
32,1739.0,-1.0,Excellent
33,6062.0,-1.0,
34,2019.0,1.0,
35,7272.0,3.0,excellent
36,1290.0,-1.0,Good
37,7187.0,8.0,Excellent
38,5639.0,4.0,Good
39,7100.0,-1.0,Good
40,6075.0,5.0,Good
41,631.0,-1.0,Excellent
42,6479.0,4.0,
43,833.0,8.0,excellent
44,8802.0,-1.0,Excellent
45,5280.0,-1.0,
46,4268.0,4.0,
47,7472.0,1.0,Poor
48,9997.0,1.0,Average
49,9919.0,4.0,excellent
50,5383.0,,
51,4401.0,8.0,Good
52,344.0,3.0,Poor
53,7428.0,3.0,Excellent
54,6834.0,,
55,8778.0,4.0,Excellent
56,1905.0,2.0,Average
57,6898.0,-1.0,excellent
58,758.0,-1.0,excellent
59,2546.0,-1.0,Average
60,7125.0,8.0,excellent
61,8630.0,1.0,Average
62,8333.0,8.0,Good
63,3290.0,-1.0,excellent
64,4535.0,8.0,Poor
65,1898.0,2.0,
66,2460.0,2.0,Poor
67,5067.0,3.0,excellent
68,9384.0,2.0,
69,7659.0,2.0,Excellent
70,1959.0,5.0,Average
71,2110.0,-1.0,Good
72,6668.0,-1.0,Poor
73,8207.0,5.0,Average
74,4703.0,5.0,Excellent
75,8866.0,4.0,Excellent
76,4053.0,8.0,Average
77,338.0,8.0,excellent
78,8250.0,8.0,Poor
79,1799.0,4.0,Excellent
80,7532.0,,Average
81,6085.0,8.0,
82,1521.0,8.0,Poor
83,7205.0,5.0,Poor
84,4861.0,-1.0,Poor
85,5422.0,5.0,Excellent
86,4751.0,-1.0,
87,3982.0,1.0,Good
88,1338.0,5.0,Good
89,6443.0,8.0,excellent
90,4615.0,8.0,excellent
91,3324.0,3.0,Poor
92,3176.0,4.0,
93,2073.0,4.0,Average
94,8457.0,1.0,
95,6561.0,8.0,Good
96,7777.0,1.0,Excellent
97,2559.0,5.0,Good
98,1086.0,3.0,excellent
99,6523.0,8.0,excellent
100,4422.0,5.0,excellent
101,9870.0,1.0,Excellent
102,7535.0,2.0,excellent
103,4543.0,2.0,Average
104,6960.0,-1.0,excellent
105,4657.0,,Average
106,3941.0,8.0,Excellent
107,8289.0,2.0,
108,7385.0,4.0,Poor
109,1084.0,5.0,Average
110,2566.0,4.0,Poor
111,5077.0,4.0,
112,213.0,-1.0,excellent
113,3916.0,-1.0,Excellent
114,1349.0,3.0,excellent
115,1999.0,2.0,Excellent
116,9267.0,4.0,Poor
117,8928.0,1.0,Poor
118,5796.0,3.0,Average
119,1713.0,,
120,2491.0,2.0,Average
121,9729.0,4.0,Excellent
122,390.0,1.0,Good
123,5146.0,4.0,Poor
124,2953.0,,Average
125,2191.0,5.0,
126,8311.0,2.0,Excellent
127,5797.0,8.0,Poor
128,8294.0,1.0,Poor
129,3993.0,5.0,Average
130,6102.0,5.0,Average
131,4799.0,,
132,8925.0,1.0,Good
